table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
manual_validation_holdout_sample.csv,neighborhood,City neighborhood label reported by the source.,text,,yes,Blank means unavailable.,source,NEIGHBORHOOD/Neighborhood.,City-defined label.,Not spatially recomputed against a boundary vintage.
manual_validation_holdout_sample.csv,council_district,City Council district reported by the source.,text,,yes,Blank means unavailable.,source,COUNCIL/COUNCILDISTRICT.,Source-defined district.,District boundaries and assignments can change.
manual_validation_holdout_sample.csv,latitude,Latitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately 27.5 to 28.3.,Vertex-average centroids can fall outside complex line/polygon features.
manual_validation_holdout_sample.csv,longitude,Longitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately -83.0 to -82.0.,Vertex-average centroids can fall outside complex line/polygon features.
manual_validation_holdout_sample.csv,record_type,"Permit, application, capital-project, or preservation record type reported by the source.",text,,yes,Blank means unavailable.,source,Source-specific record-type field.,Source-defined.,Not harmonized across source systems.
manual_validation_holdout_sample.csv,project_name,Project or application name as reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific project-name field.,Source-defined.,Names are not standardized across layers.
manual_validation_holdout_sample.csv,description,Free-text project description reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific description field.,Source-defined.,May be incomplete or use administrative language.
manual_validation_holdout_sample.csv,source_url,"Public record or project-detail URL supplied by the source, when available.",URL,,yes,Blank means no record-level URL was supplied.,source,Source URL field.,HTTP(S) URL.,A URL may later move or expire.
manual_validation_holdout_sample.csv,review_status,Reviewer workflow state for the row.,categorical text,,yes,Blank means not started.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,in_progress; complete,Metrics require complete plus all evidence gates.
manual_validation_holdout_sample.csv,source_identity_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_holdout_sample.csv,activity_classification_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_holdout_sample.csv,cross_source_linkage_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_holdout_sample.csv,status_interpretation_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_holdout_sample.csv,building_footprint_match_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_holdout_sample.csv,reviewed_activity_class,Evidence-based activity class assigned by the reviewer.,categorical text,,yes,Blank when classification is inconclusive or not applicable.,reviewer-entered,Frozen activity-classification rule.,Dataset activity_class vocabulary.,"Requires cited, manually confirmed evidence."
manual_validation_holdout_sample.csv,reviewed_activity_stage,Evidence-based procedural stage assigned by the reviewer.,categorical text,,yes,Blank when status is inconclusive or not applicable.,reviewer-entered,Frozen status-interpretation rule.,Dataset activity_stage vocabulary.,Must describe the status at the relevant snapshot date.
manual_validation_holdout_sample.csv,physical_work_evidence,Reviewer's finding about affirmative evidence of physical work.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen physical-evidence rule.,present; absent; unknown; not_applicable,"Failure to find evidence must be coded unknown, not absent."
manual_validation_holdout_sample.csv,evidence_source_types,Semicolon-delimited categories of sources manually reviewed.,text,,yes,Blank means not yet reviewed.,reviewer-entered,Acceptable-source list in MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined source categories.,AI output alone is not an evidence source.
manual_validation_holdout_sample.csv,primary_evidence_url,Public URL for evidence used in the review.,URL,,yes,Blank when unavailable; a stable document reference is required if the primary URL is blank.,reviewer-entered,Manually opened evidence source.,HTTP(S) URL.,Links can change; record access time and document reference when possible.
manual_validation_holdout_sample.csv,secondary_evidence_url,Optional second public URL used to corroborate the judgment.,URL,,yes,Blank means one evidence source was used.,external evidence,Public-source review.,HTTP(S) URL.,A second URL is not necessarily independent of the first.
manual_validation_holdout_sample.csv,evidence_document_reference,"Stable document title, identifier, archive reference, or local citation for reviewed evidence.",text,,yes,Blank when the primary evidence URL is sufficient.,reviewer-entered,Recorded during evidence review.,Free text.,Must be specific enough to relocate the evidence.
